id,title,release_date,release_year,runtime,budget,revenue,vote_average,vote_count,popularity,genres,profit,roi,primary_genre,era
353491,The Dark Tower,2017-08-03,2017,95,60000000,113231078,5.785,5383,7.4639,"['Fantasy', 'Action', 'Science Fiction']",53231078,0.8871846333333333,Fantasy,pre_covid
406990,What Happened to Monday,2017-08-18,2017,123,20000000,27975429,7.155,6307,7.4305,"['Science Fiction', 'Thriller', 'Mystery', 'Action']",7975429,0.39877145,Science Fiction,pre_covid
343668,Kingsman: The Golden Circle,2017-09-20,2017,141,104000000,410902662,6.951,10864,7.3481,"['Action', 'Adventure', 'Comedy', 'Crime']",306902662,2.9509871346153846,Action,pre_covid
324852,Despicable Me 3,2017-06-15,2017,90,80000000,1034800131,6.464,7473,7.3409,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']",954800131,11.9350016375,Action,pre_covid
432068,C'est la vie!,2017-10-04,2017,115,17200000,23800000,7.0,1541,7.3112,['Comedy'],6600000,0.38372093023255816,Comedy,pre_covid
374720,Dunkirk,2017-07-19,2017,107,150000000,527000000,7.451,17158,7.2705,"['War', 'Action', 'Drama']",377000000,2.513333333333333,War,pre_covid
417830,Diary of a Wimpy Kid: The Long Haul,2017-05-19,2017,91,22000000,40120144,5.3,509,7.2703,"['Comedy', 'Family', 'Adventure']",18120144,0.8236429090909091,Comedy,pre_covid
293167,Kong: Skull Island,2017-03-08,2017,118,185000000,566652812,6.55,10892,7.1919,"['Action', 'Adventure', 'Fantasy']",381652812,2.062988172972973,Action,pre_covid
406997,Wonder,2017-11-13,2017,113,20000000,315025930,8.111,8108,7.056,"['Family', 'Drama']",295025930,14.7512965,Family,pre_covid
397415,Vengeance: A Love Story,2017-03-16,2017,99,28000000,14940116,5.558,330,6.9327,"['Action', 'Drama', 'Thriller']",-13059884,-0.4664244285714286,Action,pre_covid
401513,Attraction,2017-01-26,2017,117,5027266,19454845,6.658,868,6.929,"['Drama', 'Romance', 'Science Fiction', 'Adventure']",14427579,2.8698658475600856,Drama,pre_covid
339846,Baywatch,2017-05-25,2017,116,69000000,177900000,6.09,8341,6.6363,"['Comedy', 'Action', 'Crime']",108900000,1.5782608695652174,Comedy,pre_covid
